frame,areas,diffs,plucked_areas,colored,areas (μm^2)
7,491,,False,0,1.327664
8,489,2.0,False,0,1.3222559999999999
9,485,4.0,False,0,1.31144
11,498,13.0,False,0,1.346592
12,494,4.0,False,0,1.3357759999999999
13,500,6.0,False,0,1.3519999999999999
14,496,4.0,False,0,1.341184
16,516,20.0,False,0,1.3952639999999998
17,528,12.0,False,0,1.4277119999999999
18,526,2.0,False,0,1.4223039999999998
19,519,7.0,False,0,1.403376
20,532,13.0,False,0,1.4385279999999998
21,533,1.0,False,0,1.4412319999999998
22,534,1.0,False,0,1.4439359999999999
23,542,8.0,False,0,1.465568
24,548,6.0,False,0,1.481792
25,528,20.0,False,0,1.4277119999999999
26,532,4.0,False,0,1.4385279999999998
28,545,13.0,False,0,1.4736799999999999
29,545,0.0,False,0,1.4736799999999999
31,563,18.0,False,0,1.522352
32,564,1.0,False,0,1.525056
33,568,4.0,False,0,1.535872
34,571,3.0,False,0,1.5439839999999998
35,574,3.0,False,0,1.552096
36,577,3.0,False,0,1.5602079999999998
37,582,5.0,False,0,1.5737279999999998
38,582,0.0,False,0,1.5737279999999998
39,595,13.0,False,0,1.6088799999999999
40,595,0.0,False,0,1.6088799999999999
41,600,5.0,False,0,1.6223999999999998
42,599,1.0,False,0,1.6196959999999998
43,601,2.0,False,0,1.6251039999999999
44,609,8.0,False,0,1.646736
45,617,8.0,False,0,1.6683679999999999
46,616,1.0,False,0,1.6656639999999998
47,620,4.0,False,0,1.67648
48,628,8.0,False,0,1.6981119999999998
49,633,5.0,False,0,1.7116319999999998
50,633,0.0,False,0,1.7116319999999998
51,636,3.0,False,0,1.719744
52,635,1.0,False,0,1.71704
54,650,15.0,False,0,1.7575999999999998
55,661,11.0,False,0,1.7873439999999998
56,659,2.0,False,0,1.781936
57,665,6.0,False,0,1.79816
58,667,2.0,False,0,1.8035679999999998
59,675,8.0,False,0,1.8252
60,682,7.0,False,0,1.8441279999999998
61,681,1.0,False,0,1.841424
62,685,4.0,False,0,1.8522399999999999
63,689,4.0,False,0,1.8630559999999998
64,694,5.0,False,0,1.8765759999999998
65,702,8.0,False,0,1.898208
66,703,1.0,False,0,1.900912
67,709,6.0,False,0,1.917136
68,706,3.0,False,0,1.9090239999999998
69,721,15.0,False,0,1.9495839999999998
70,720,1.0,False,0,1.94688
71,726,6.0,False,0,1.963104
72,732,6.0,False,0,1.9793279999999998
73,738,6.0,False,0,1.9955519999999998
74,738,0.0,False,0,1.9955519999999998
75,741,3.0,False,0,2.0036639999999997
76,744,3.0,False,0,2.011776
77,744,0.0,False,0,2.011776
78,746,2.0,False,0,2.017184
79,753,7.0,False,0,2.0361119999999997
80,750,3.0,False,0,2.028
81,755,5.0,False,0,2.04152
82,755,0.0,False,0,2.04152
83,771,16.0,False,0,2.084784
84,772,1.0,False,0,2.087488
