frame,areas,diffs,plucked_areas,colored,areas (μm^2)
158,631,8.0,False,1,1.706224
159,632,1.0,False,1,1.7089279999999998
160,638,6.0,False,1,1.7251519999999998
161,641,3.0,False,1,1.733264
162,642,1.0,False,1,1.735968
163,651,9.0,False,1,1.7603039999999999
164,647,4.0,False,1,1.749488
165,659,12.0,False,1,1.781936
166,664,5.0,False,1,1.795456
167,671,7.0,False,1,1.8143839999999998
168,671,0.0,False,1,1.8143839999999998
169,677,6.0,False,1,1.8306079999999998
170,677,0.0,False,1,1.8306079999999998
171,679,2.0,False,1,1.8360159999999999
172,692,13.0,False,1,1.871168
173,692,0.0,False,1,1.871168
174,698,6.0,False,1,1.887392
175,702,4.0,False,1,1.898208
176,705,3.0,False,1,1.9063199999999998
177,717,12.0,False,1,1.9387679999999998
178,717,0.0,False,1,1.9387679999999998
179,718,1.0,False,1,1.9414719999999999
180,731,13.0,False,1,1.976624
181,731,0.0,False,1,1.976624
182,737,6.0,False,1,1.992848
183,736,1.0,False,1,1.990144
184,745,9.0,False,1,2.01448
185,757,12.0,False,1,2.046928
186,751,6.0,False,1,2.030704
187,765,14.0,False,1,2.0685599999999997
188,766,1.0,False,1,2.0712639999999998
189,770,4.0,False,1,2.08208
190,777,7.0,False,1,2.1010079999999998
191,778,1.0,False,1,2.103712
192,782,4.0,False,1,2.114528
193,795,13.0,False,1,2.14968
194,792,3.0,False,1,2.141568
195,792,0.0,False,1,2.141568
196,440,-352.0,False,2,1.18976
197,450,10.0,False,2,1.2167999999999999
198,444,6.0,False,2,1.2005759999999999
199,451,7.0,False,2,1.219504
200,452,1.0,False,2,1.222208
201,455,3.0,False,2,1.2303199999999999
202,466,11.0,False,2,1.2600639999999999
203,457,9.0,False,2,1.235728
204,465,8.0,False,2,1.2573599999999998
205,464,1.0,False,2,1.254656
206,464,0.0,False,2,1.254656
208,481,17.0,False,2,1.300624
209,476,5.0,False,2,1.2871039999999998
210,488,12.0,False,2,1.3195519999999998
211,483,5.0,False,2,1.3060319999999999
212,492,9.0,False,2,1.330368
213,491,1.0,False,2,1.327664
214,491,0.0,False,2,1.327664
215,503,12.0,False,2,1.360112
216,497,6.0,False,2,1.343888
218,501,4.0,False,2,1.354704
220,510,9.0,False,2,1.3790399999999998
221,505,5.0,False,2,1.3655199999999998
222,517,12.0,False,2,1.3979679999999999
223,527,10.0,False,2,1.4250079999999998
224,532,5.0,False,2,1.4385279999999998
225,528,4.0,False,2,1.4277119999999999
226,526,2.0,False,2,1.4223039999999998
227,528,2.0,False,2,1.4277119999999999
229,549,21.0,False,2,1.4844959999999998
230,548,1.0,False,2,1.481792
231,538,10.0,False,2,1.4547519999999998
233,559,21.0,False,2,1.511536
234,551,8.0,False,2,1.489904
235,560,9.0,False,2,1.5142399999999998
236,568,8.0,False,2,1.535872
237,569,1.0,False,2,1.538576
238,578,9.0,False,2,1.5629119999999999
239,584,6.0,False,2,1.5791359999999999
240,580,4.0,False,2,1.56832
241,582,2.0,False,2,1.5737279999999998
242,588,6.0,False,2,1.5899519999999998
243,593,5.0,False,2,1.6034719999999998
244,593,0.0,False,2,1.6034719999999998
245,600,7.0,False,2,1.6223999999999998
246,608,8.0,False,2,1.644032
247,608,0.0,False,2,1.644032
248,606,2.0,False,2,1.6386239999999999
249,615,9.0,False,2,1.6629599999999998
250,616,1.0,False,2,1.6656639999999998
251,626,10.0,False,2,1.692704
252,625,1.0,False,2,1.69
253,620,5.0,False,2,1.67648
254,630,10.0,False,2,1.70352
255,632,2.0,False,2,1.7089279999999998
256,638,6.0,False,2,1.7251519999999998
257,646,8.0,False,2,1.746784
258,643,3.0,False,2,1.7386719999999998
259,650,7.0,False,2,1.7575999999999998
260,652,2.0,False,2,1.763008
261,659,7.0,False,2,1.781936
262,662,3.0,False,2,1.7900479999999999
263,668,6.0,False,2,1.8062719999999999
264,672,4.0,False,2,1.8170879999999998
265,676,4.0,False,2,1.827904
266,678,2.0,False,2,1.8333119999999998
267,684,6.0,False,2,1.8495359999999998
